0 1 2 3 4 5 6 7 8 9 10 11
5 14 29 37 46 58 64 76 85 91 99 126
5 17 26 41 49 55 65 73 83 86 94 116
5 19 32 35 45 60 63 72 80 95 98 114
5 20 31 39 47 54 61 70 81 89 117 124
5 18 30 40 51 53 62 69 93 102 119 122
3 16 31 36 50 53 66 76 79 94 98 130
3 22 26 38 44 58 62 72 82 92 105 124
3 20 27 34 51 55 67 74 95 99 103 125
3 17 30 33 46 57 63 81 96 97 104 112
3 18 32 37 48 59 68 70 78 108 116 121
3 21 28 39 49 60 64 71 77 102 110 128
7 15 26 37 51 54 66 71 80 90 104 129
8 15 24 41 46 60 62 79 89 100 103 121
10 15 31 34 44 59 63 73 85 102 106 109
9 15 27 39 48 58 65 69 98 107 112 118
11 15 32 36 49 57 61 74 82 84 122 126
6 16 25 39 45 57 62 73 78 90 99 120
8 16 30 34 49 54 68 72 87 91 101 118
9 16 29 41 51 56 63 70 82 88 110 113
7 16 32 38 47 55 64 69 96 100 109 115
11 14 25 40 48 55 66 72 89 97 106 110
9 14 28 35 47 59 62 74 94 101 104 127
6 14 32 33 50 54 65 88 92 102 103 123
7 14 30 36 44 60 67 70 86 107 111 120
10 14 27 41 45 53 68 71 84 96 124 131
9 22 25 33 49 53 67 80 85 100 108 117
10 17 25 37 50 60 61 69 101 105 113 125
8 21 25 38 51 59 65 76 81 84 111 114
11 20 26 33 45 59 64 79 87 93 107 113
6 21 26 36 46 56 68 69 95 106 117 127
10 19 26 40 47 57 67 76 77 88 118 121
7 21 24 34 45 58 61 88 94 97 108 119
10 18 24 35 49 56 66 81 92 99 107 115
6 20 24 38 48 53 63 77 86 101 126 129
9 17 24 40 44 54 64 78 84 95 130 132
11 19 28 34 46 53 65 70 90 105 115 132
6 22 29 34 47 60 66 75 84 93 112 116
8 22 27 35 50 57 64 70 83 106 119 129
11 17 31 35 51 58 68 75 77 100 120 123
8 18 29 33 44 55 61 77 90 98 127 131
7 19 31 33 48 56 62 83 84 91 125 128
